bowler,wickets,balls_bowled,runs_conceded,overs,economy_rate,dot_balls,dot_ball_percentage
YS Chahal,208,3584,4606,597.33,7.71,1184,33.04
DJ Bravo,207,3296,4436,549.33,8.08,998,30.28
SP Narine,200,4116,4633,686.0,6.75,1560,37.9
PP Chawla,199,3829,5089,638.17,7.97,1308,34.16
R Ashwin,195,4624,5373,770.67,6.97,1528,33.04
B Kumar,194,4035,5022,672.5,7.47,1622,40.2
SL Malinga,186,2922,3409,487.0,7.0,1127,38.57
A Mishra,180,3371,4111,561.83,7.32,1154,34.23
JJ Bumrah,170,3061,3675,510.17,7.2,1184,38.68
RA Jadeja,168,3865,4888,644.17,7.59,1205,31.18
UT Yadav,160,3154,4395,525.67,8.36,1172,37.16
Harbhajan Singh,160,3471,4078,578.5,7.05,1252,36.07
Rashid Khan,155,2816,3238,469.33,6.9,1031,36.61
Sandeep Sharma,152,2874,3704,479.0,7.73,1106,38.48
HV Patel,147,2234,3143,372.33,8.44,694,31.07
MM Sharma,146,2283,3233,380.5,8.5,775,33.95
Mohammed Shami,137,2462,3432,410.33,8.36,956,38.83
AR Patel,126,3073,3746,512.17,7.31,991,32.25
TA Boult,125,2375,3188,395.83,8.05,973,40.97
AD Russell,124,1740,2633,290.0,9.08,575,33.05
R Vinay Kumar,121,2107,2942,351.17,8.38,735,34.88
A Nehra,120,1949,2506,324.83,7.71,786,40.33
Z Khan,119,2275,2860,379.17,7.54,872,38.33
K Rabada,119,1829,2545,304.83,8.35,694,37.94
SR Watson,106,2089,2676,348.17,7.69,791,37.87
DW Steyn,104,2250,2531,375.0,6.75,1010,44.89
JD Unadkat,104,2137,3162,356.17,8.88,661,30.93
CH Morris,103,1745,2289,290.83,7.87,647,37.08
P Kumar,102,2637,3342,439.5,7.6,1075,40.77
SN Thakur,100,1979,2908,329.83,8.82,639,32.29
RP Singh,100,1849,2369,308.17,7.69,740,40.02
PP Ojha,99,1945,2399,324.17,7.4,667,34.29
IK Pathan,96,2058,2621,343.0,7.64,818,39.75
Mohammed Siraj,96,2081,2894,346.83,8.34,806,38.73
JA Morkel,93,1783,2386,297.17,8.03,633,35.5
I Sharma,91,2381,3190,396.83,8.04,951,39.94
DS Kulkarni,90,1850,2473,308.33,8.02,731,39.51
Kuldeep Yadav,87,1743,2353,290.5,8.1,510,29.26
Imran Tahir,86,1340,1729,223.33,7.74,437,32.61
M Morkel,85,1647,2063,274.5,7.52,689,41.83
CV Varun,84,1600,2010,266.67,7.54,575,35.94
L Balaji,83,1549,2053,258.17,7.95,530,34.22
Arshdeep Singh,82,1434,2061,239.0,8.62,465,32.43
AB Dinda,82,1570,2064,261.67,7.89,624,39.75
KV Sharma,82,1520,2130,253.33,8.41,483,31.78
KA Pollard,81,1566,2161,261.0,8.28,402,25.67
R Bhatia,81,1636,2030,272.67,7.44,430,26.28
MM Patel,81,1363,1695,227.17,7.46,586,42.99
DL Chahar,79,1722,2202,287.0,7.67,699,40.59
Avesh Khan,78,1363,1976,227.17,8.7,482,35.36
KK Ahmed,75,1297,1833,216.17,8.48,498,38.4
MJ McClenaghan,75,1321,1789,220.17,8.13,500,37.85
KH Pandya,75,2102,2572,350.33,7.34,644,30.64
JH Kallis,74,1793,2344,298.83,7.84,598,33.35
T Natarajan,74,1376,1959,229.33,8.54,411,29.87
RD Chahar,73,1624,2080,270.67,7.68,548,33.74
SK Trivedi,73,1557,1944,259.5,7.49,492,31.6
Mustafizur Rahman,70,1353,1792,225.5,7.95,464,34.29
Shakib Al Hasan,70,1491,1841,248.5,7.41,496,33.27
HH Pandya,68,1473,2176,245.5,8.86,477,32.38
Ravi Bishnoi,66,1423,1827,237.17,7.7,478,33.59
JP Faulkner,66,1189,1702,198.17,8.59,368,30.95
PJ Cummins,65,1346,1944,224.33,8.67,455,33.8
MG Johnson,63,1271,1701,211.83,8.03,524,41.23
SM Curran,62,1234,1924,205.67,9.35,378,30.63
A Nortje,62,1073,1577,178.83,8.82,391,36.44
M Muralitharan,62,1528,1714,254.67,6.73,575,37.63
S Kaul,61,1214,1741,202.33,8.6,379,31.22
MA Starc,59,854,1140,142.33,8.01,327,38.29
JO Holder,59,1049,1489,174.83,8.52,321,30.6
SK Warne,58,1197,1440,199.5,7.22,417,34.84
TG Southee,54,1237,1739,206.17,8.43,438,35.41
M Prasidh Krishna,53,1200,1698,200.0,8.49,466,38.83
S Nadeem,53,1420,1774,236.67,7.5,442,31.13
NM Coulter-Nile,52,868,1092,144.67,7.55,359,41.36
LH Ferguson,51,949,1395,158.17,8.82,330,34.77
SB Jakati,50,1101,1474,183.5,8.03,337,30.61
S Gopal,50,994,1346,165.67,8.12,314,31.59
JC Archer,49,987,1210,164.5,7.36,420,42.55
A Kumble,49,983,1089,163.83,6.65,374,38.05
AJ Tye,48,708,996,118.0,8.44,206,29.1
