venue,total_matches,decided_matches
Eden Gardens,77,77
Wankhede Stadium,72,72
M Chinnaswamy Stadium,62,62
Feroz Shah Kotla,59,59
"Rajiv Gandhi International Stadium, Uppal",48,48
Sawai Mansingh Stadium,47,47
"MA Chidambaram Stadium, Chepauk",47,47
"Wankhede Stadium, Mumbai",45,45
Dubai International Cricket Stadium,43,43
"Punjab Cricket Association Stadium, Mohali",35,35
Sharjah Cricket Stadium,28,28
Sheikh Zayed Stadium,27,27
"MA Chidambaram Stadium, Chepauk, Chennai",27,27
"Narendra Modi Stadium, Ahmedabad",24,24
Maharashtra Cricket Association Stadium,22,22
"Dr DY Patil Sports Academy, Mumbai",20,20
Dr DY Patil Sports Academy,17,17
"Brabourne Stadium, Mumbai",17,17
"Eden Gardens, Kolkata",16,16
Subrata Roy Sahara Stadium,16,16
"Arun Jaitley Stadium, Delhi",16,16
Kingsmead,15,15
Rajiv Gandhi International Stadium,15,15
"M Chinnaswamy Stadium, Bengaluru",14,14
M.Chinnaswamy Stadium,14,14
"Maharashtra Cricket Association Stadium, Pune",13,13
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,13
Arun Jaitley Stadium,13,13
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,13
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",13,13
SuperSport Park,12,12
"Sardar Patel Stadium, Motera",11,11
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,11
"Sawai Mansingh Stadium, Jaipur",10,10
Brabourne Stadium,10,10
Punjab Cricket Association IS Bindra Stadium,10,10
MA Chidambaram Stadium,9,9
Himachal Pradesh Cricket Association Stadium,9,9
Saurashtra Cricket Association Stadium,9,9
Holkar Cricket Stadium,9,9
"Zayed Cricket Stadium, Abu Dhabi",8,8
New Wanderers Stadium,8,8
Barabati Stadium,7,7
JSCA International Stadium Complex,7,7
St George's Park,7,7
Shaheed Veer Narayan Singh International Stadium,6,6
Newlands,6,6
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,5
Nehru Stadium,5,5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,4
Green Park,4,4
De Beers Diamond Oval,3,3
Buffalo Park,3,3
"Vidarbha Cricket Association Stadium, Jamtha",3,3
"Barsapara Cricket Stadium, Guwahati",3,3
OUTsurance Oval,2,2
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,2
